Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#3D3F1F,#3F627F,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#7F713F,#5FAEBF,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
3089,Er,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,2975.475493,2760.373801,2
3090,Er,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,402.451149,384.502891,2
3091,Er,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,3668.539605,3520.012994,4
3092,Er,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,1058.351941,1034.662262,2
3093,Er,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,644.533091,591.826463,2
3094,Er,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,423.297496,314.635463,1
3095,Er,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,771.287554,716.000337,1
3096,Er,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,1077.847019,816.799875,1
3097,Er,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,1118.844208,584.173560,1
3098,Er,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,726.968037,718.585176,4
3099,Er,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,2616.698810,2277.925687,1
3100,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,2901.388854,2703.837758,2
3101,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,430.910844,411.113317,2
3102,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,198.937855,192.627014,4
3103,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,1384.106880,1342.175256,2
3104,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,3636.917042,3523.080943,4
3105,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,448.451972,424.044143,4
3106,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,1819.077228,1326.763882,4
3107,Er,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,537.386445,404.743924,4
3108,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,322.083397,274.965300,1
3109,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,434.956670,335.147689,1
3110,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,177.957415,137.846849,1
3111,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,504.231594,351.062776,1
3112,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,611.126147,450.664859,1
3113,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,207.394273,163.961820,1
3114,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,19.894334,19.128879,1
3115,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,52.493395,40.990455,1
3116,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,352.418130,248.675426,1
3117,Ka,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,1659.040429,1523.217362,1
3118,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,2775.588699,2604.866925,2
3119,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,428.156508,398.190252,2
3120,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,259.600057,253.898314,2
3123,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,358.739299,290.423171,2
