Unnamed: 0,x,y,z,Name,Id,Vertex Index,PType,uncertaintyclasses
69227,2303.5714,1403.5048,-485.311,Horizon_05,320,1797,0,2.0
69282,2296.4286,1400.2551,-486.6388,Horizon_05,320,1852,0,2.0
69283,2300.0,1400.2551,-486.6388,Horizon_05,320,1853,0,2.0
69284,2303.5714,1400.2551,-486.6388,Horizon_05,320,1854,0,2.0
69510,2296.4286,1387.321,-492.1038,Horizon_05,320,2080,0,2.0
69511,2300.0,1387.321,-492.1038,Horizon_05,320,2081,0,2.0
69512,2303.5714,1387.321,-492.1038,Horizon_05,320,2082,0,2.0
69567,2296.4286,1384.1093,-493.521,Horizon_05,320,2137,0,2.0
69568,2300.0,1384.1093,-493.521,Horizon_05,320,2138,0,2.0
69569,2303.5714,1384.1093,-493.521,Horizon_05,320,2139,0,2.0
69624,2296.4286,1380.8979,-494.939,Horizon_05,320,2194,0,2.0
69625,2300.0,1380.8979,-494.939,Horizon_05,320,2195,0,2.0
69626,2303.5714,1380.8979,-494.939,Horizon_05,320,2196,0,2.0
69681,2296.4286,1377.6866,-496.357,Horizon_05,320,2251,0,2.0
69682,2300.0,1377.6866,-496.357,Horizon_05,320,2252,0,2.0
69683,2303.5714,1377.6866,-496.357,Horizon_05,320,2253,0,2.0
69738,2296.4286,1374.4752,-497.775,Horizon_05,320,2308,0,2.0
69739,2300.0,1374.4752,-497.775,Horizon_05,320,2309,0,2.0
69740,2303.5714,1374.4752,-497.775,Horizon_05,320,2310,0,2.0
70707,2296.4286,1322.1317,-501.9567,Horizon_05,320,3277,0,2.0
70709,2303.5714,1322.1317,-501.9567,Horizon_05,320,3279,0,2.0
70764,2296.4286,1320.3961,-498.9053,Horizon_05,320,3334,0,2.0
70765,2300.0,1320.3961,-498.9053,Horizon_05,320,3335,0,2.0
70766,2303.5714,1320.3961,-498.9053,Horizon_05,320,3336,0,2.0
70821,2296.4286,1318.6609,-495.8536,Horizon_05,320,3391,0,2.0
70822,2300.0,1318.6609,-495.8536,Horizon_05,320,3392,0,2.0
70823,2303.5714,1318.6609,-495.8536,Horizon_05,320,3393,0,2.0
70878,2296.4286,1316.9256,-492.802,Horizon_05,320,3448,0,2.0
70879,2300.0,1316.9256,-492.802,Horizon_05,320,3449,0,2.0
70880,2303.5714,1316.9256,-492.802,Horizon_05,320,3450,0,2.0
70935,2296.4286,1315.1904,-489.7504,Horizon_05,320,3505,0,2.0
70936,2300.0,1315.1904,-489.7504,Horizon_05,320,3506,0,2.0
70937,2303.5714,1315.1904,-489.7504,Horizon_05,320,3507,0,2.0
70992,2296.4286,1313.4551,-486.6987,Horizon_05,320,3562,0,2.0
70993,2300.0,1313.4551,-486.6987,Horizon_05,320,3563,0,2.0
70994,2303.5714,1313.4551,-486.6987,Horizon_05,320,3564,0,2.0
71049,2296.4286,1311.7199,-483.6471,Horizon_05,320,3619,0,2.0
71050,2300.0,1311.7199,-483.6471,Horizon_05,320,3620,0,2.0
71051,2303.5714,1311.7199,-483.6471,Horizon_05,320,3621,0,2.0
71106,2296.4286,1309.9846,-480.5954,Horizon_05,320,3676,0,2.0
71107,2300.0,1309.9846,-480.5954,Horizon_05,320,3677,0,2.0
71108,2303.5714,1309.9846,-480.5954,Horizon_05,320,3678,0,2.0
71790,2296.4286,1291.0156,-443.0145,Horizon_05,320,4360,0,2.0
71791,2300.0,1291.0156,-443.0145,Horizon_05,320,4361,0,2.0
71792,2303.5714,1291.0156,-443.0145,Horizon_05,320,4362,0,2.0
71847,2296.4286,1289.5426,-439.828,Horizon_05,320,4417,0,2.0
71848,2300.0,1289.5426,-439.828,Horizon_05,320,4418,0,2.0
71849,2303.5714,1289.5426,-439.828,Horizon_05,320,4419,0,2.0
71904,2296.4286,1288.0696,-436.6415,Horizon_05,320,4474,0,2.0
71905,2300.0,1288.0696,-436.6415,Horizon_05,320,4475,0,2.0
71906,2303.5714,1288.0696,-436.6415,Horizon_05,320,4476,0,2.0
71961,2296.4286,1286.5966,-433.455,Horizon_05,320,4531,0,2.0
71962,2300.0,1286.5966,-433.455,Horizon_05,320,4532,0,2.0
71963,2303.5714,1286.5966,-433.455,Horizon_05,320,4533,0,2.0
72018,2296.4286,1285.1236,-430.2685,Horizon_05,320,4588,0,2.0
72019,2300.0,1285.1236,-430.2685,Horizon_05,320,4589,0,2.0
72020,2303.5714,1285.1236,-430.2685,Horizon_05,320,4590,0,2.0
72075,2296.4286,1283.6506,-427.082,Horizon_05,320,4645,0,2.0
72076,2300.0,1283.6506,-427.082,Horizon_05,320,4646,0,2.0
72077,2303.5714,1283.6506,-427.082,Horizon_05,320,4647,0,2.0
72132,2296.4286,1282.1785,-423.8951,Horizon_05,320,4702,0,2.0
72133,2300.0,1282.1785,-423.8951,Horizon_05,320,4703,0,2.0
72134,2303.5714,1282.1785,-423.8951,Horizon_05,320,4704,0,2.0
72816,2296.4286,1264.7111,-385.5615,Horizon_05,320,5386,0,2.0
72817,2300.0,1264.7111,-385.5615,Horizon_05,320,5387,0,2.0
72818,2303.5714,1264.7111,-385.5615,Horizon_05,320,5388,0,2.0
72873,2296.4286,1263.1288,-382.4279,Horizon_05,320,5443,0,2.0
72874,2300.0,1263.1288,-382.4279,Horizon_05,320,5444,0,2.0
72875,2303.5714,1263.1288,-382.4279,Horizon_05,320,5445,0,2.0
72930,2296.4286,1261.3929,-379.3769,Horizon_05,320,5500,0,2.0
72931,2300.0,1261.3929,-379.3769,Horizon_05,320,5501,0,2.0
72932,2303.5714,1261.3929,-379.3769,Horizon_05,320,5502,0,2.0
72987,2296.4286,1259.574,-376.3744,Horizon_05,320,5557,0,2.0
72988,2300.0,1259.574,-376.3744,Horizon_05,320,5558,0,2.0
72989,2303.5714,1259.574,-376.3744,Horizon_05,320,5559,0,2.0
73956,2296.4286,1212.0259,-374.6314,Horizon_05,320,6526,0,2.0
73957,2300.0,1212.0259,-374.6314,Horizon_05,320,6527,0,2.0
73958,2303.5714,1212.0259,-374.6314,Horizon_05,320,6528,0,2.0
74013,2296.4286,1209.1347,-376.6225,Horizon_05,320,6583,0,2.0
74014,2300.0,1209.1347,-376.6225,Horizon_05,320,6584,0,2.0
74015,2303.5714,1209.1347,-376.6225,Horizon_05,320,6585,0,2.0
