Unnamed: 0,x,y,z,Name,Id,Vertex Index,PType,Answers
9114,782.1429,3695.6854,260.5468,Horizon_01,298,9115,0,1.0
9115,785.7143,3695.6854,260.5468,Horizon_01,298,9116,0,1.0
9116,789.2857,3695.6854,260.5468,Horizon_01,298,9117,0,1.0
9117,792.8571,3695.6854,260.5468,Horizon_01,298,9118,0,1.0
9118,796.4286,3695.6854,260.5468,Horizon_01,298,9119,0,1.0
9119,800.0,3695.6854,260.5468,Horizon_01,298,9120,0,1.0
9120,600.0,3693.813,263.4834,Horizon_01,298,9121,0,1.0
9121,603.5714,3693.813,263.4834,Horizon_01,298,9122,0,1.0
9122,607.1429,3693.813,263.4834,Horizon_01,298,9123,0,1.0
9123,610.7143,3693.813,263.4834,Horizon_01,298,9124,0,1.0
9124,614.2857,3693.813,263.4834,Horizon_01,298,9125,0,1.0
9125,617.8571,3693.813,263.4834,Horizon_01,298,9126,0,1.0
9126,621.4286,3693.813,263.4834,Horizon_01,298,9127,0,1.0
9127,625.0,3693.813,263.4834,Horizon_01,298,9128,0,1.0
9128,628.5714,3693.813,263.4834,Horizon_01,298,9129,0,1.0
9129,632.1429,3693.813,263.4834,Horizon_01,298,9130,0,1.0
9130,635.7143,3693.813,263.4834,Horizon_01,298,9131,0,1.0
9131,639.2857,3693.813,263.4834,Horizon_01,298,9132,0,1.0
9132,642.8571,3693.813,263.4834,Horizon_01,298,9133,0,1.0
9133,646.4286,3693.813,263.4834,Horizon_01,298,9134,0,1.0
9134,650.0,3693.813,263.4834,Horizon_01,298,9135,0,1.0
9135,653.5714,3693.813,263.4834,Horizon_01,298,9136,0,1.0
9136,657.1429,3693.813,263.4834,Horizon_01,298,9137,0,1.0
9137,660.7143,3693.813,263.4834,Horizon_01,298,9138,0,1.0
9138,664.2857,3693.813,263.4834,Horizon_01,298,9139,0,1.0
9139,667.8571,3693.813,263.4834,Horizon_01,298,9140,0,1.0
9140,671.4286,3693.813,263.4834,Horizon_01,298,9141,0,1.0
9141,675.0,3693.813,263.4834,Horizon_01,298,9142,0,1.0
9142,678.5714,3693.813,263.4834,Horizon_01,298,9143,0,1.0
9143,682.1429,3693.813,263.4834,Horizon_01,298,9144,0,1.0
9144,685.7143,3693.813,263.4834,Horizon_01,298,9145,0,1.0
9145,689.2857,3693.813,263.4834,Horizon_01,298,9146,0,1.0
9146,692.8571,3693.813,263.4834,Horizon_01,298,9147,0,1.0
9147,696.4286,3693.813,263.4834,Horizon_01,298,9148,0,1.0
9148,700.0,3693.813,263.4834,Horizon_01,298,9149,0,1.0
9149,703.5714,3693.813,263.4834,Horizon_01,298,9150,0,1.0
9150,707.1429,3693.813,263.4834,Horizon_01,298,9151,0,1.0
9151,710.7143,3693.813,263.4834,Horizon_01,298,9152,0,1.0
9152,714.2857,3693.813,263.4834,Horizon_01,298,9153,0,1.0
9153,717.8571,3693.813,263.4834,Horizon_01,298,9154,0,1.0
9154,721.4286,3693.813,263.4834,Horizon_01,298,9155,0,1.0
9155,725.0,3693.813,263.4834,Horizon_01,298,9156,0,1.0
9156,728.5714,3693.813,263.4834,Horizon_01,298,9157,0,1.0
9157,732.1429,3693.813,263.4834,Horizon_01,298,9158,0,1.0
9158,735.7143,3693.813,263.4834,Horizon_01,298,9159,0,1.0
9159,739.2857,3693.813,263.4834,Horizon_01,298,9160,0,1.0
9160,742.8571,3693.813,263.4834,Horizon_01,298,9161,0,1.0
9161,746.4286,3693.813,263.4834,Horizon_01,298,9162,0,1.0
9162,750.0,3693.813,263.4834,Horizon_01,298,9163,0,1.0
9163,753.5714,3693.813,263.4834,Horizon_01,298,9164,0,1.0
9164,757.1429,3693.813,263.4834,Horizon_01,298,9165,0,1.0
9165,760.7143,3693.813,263.4834,Horizon_01,298,9166,0,1.0
9166,764.2857,3693.813,263.4834,Horizon_01,298,9167,0,1.0
9167,767.8571,3693.813,263.4834,Horizon_01,298,9168,0,1.0
9168,771.4286,3693.813,263.4834,Horizon_01,298,9169,0,1.0
9169,775.0,3693.813,263.4834,Horizon_01,298,9170,0,1.0
9170,778.5714,3693.813,263.4834,Horizon_01,298,9171,0,1.0
9171,782.1429,3693.813,263.4834,Horizon_01,298,9172,0,1.0
9172,785.7143,3693.813,263.4834,Horizon_01,298,9173,0,1.0
9173,789.2857,3693.813,263.4834,Horizon_01,298,9174,0,1.0
9174,792.8571,3693.813,263.4834,Horizon_01,298,9175,0,1.0
9175,796.4286,3693.813,263.4834,Horizon_01,298,9176,0,1.0
9176,800.0,3693.813,263.4834,Horizon_01,298,9177,0,1.0
9177,600.0,3691.9297,266.413,Horizon_01,298,9178,0,1.0
9178,603.5714,3691.9297,266.413,Horizon_01,298,9179,0,1.0
9179,607.1429,3691.9297,266.413,Horizon_01,298,9180,0,1.0
9180,610.7143,3691.9297,266.413,Horizon_01,298,9181,0,1.0
9181,614.2857,3691.9297,266.413,Horizon_01,298,9182,0,1.0
9182,617.8571,3691.9297,266.413,Horizon_01,298,9183,0,1.0
9183,621.4286,3691.9297,266.413,Horizon_01,298,9184,0,1.0
9184,625.0,3691.9297,266.413,Horizon_01,298,9185,0,1.0
9185,628.5714,3691.9297,266.413,Horizon_01,298,9186,0,1.0
9186,632.1429,3691.9297,266.413,Horizon_01,298,9187,0,1.0
9187,635.7143,3691.9297,266.413,Horizon_01,298,9188,0,1.0
9188,639.2857,3691.9297,266.413,Horizon_01,298,9189,0,1.0
9189,642.8571,3691.9297,266.413,Horizon_01,298,9190,0,1.0
9190,646.4286,3691.9297,266.413,Horizon_01,298,9191,0,1.0
9191,650.0,3691.9297,266.413,Horizon_01,298,9192,0,1.0
9192,653.5714,3691.9297,266.413,Horizon_01,298,9193,0,1.0
9193,657.1429,3691.9297,266.413,Horizon_01,298,9194,0,1.0
9194,660.7143,3691.9297,266.413,Horizon_01,298,9195,0,1.0
9195,664.2857,3691.9297,266.413,Horizon_01,298,9196,0,1.0
9196,667.8571,3691.9297,266.413,Horizon_01,298,9197,0,1.0
9197,671.4286,3691.9297,266.413,Horizon_01,298,9198,0,1.0
9198,675.0,3691.9297,266.413,Horizon_01,298,9199,0,1.0
9199,678.5714,3691.9297,266.413,Horizon_01,298,9200,0,1.0
9200,682.1429,3691.9297,266.413,Horizon_01,298,9201,0,1.0
9201,685.7143,3691.9297,266.413,Horizon_01,298,9202,0,1.0
9202,689.2857,3691.9297,266.413,Horizon_01,298,9203,0,1.0
9203,692.8571,3691.9297,266.413,Horizon_01,298,9204,0,1.0
9204,696.4286,3691.9297,266.413,Horizon_01,298,9205,0,1.0
9205,700.0,3691.9297,266.413,Horizon_01,298,9206,0,1.0
9206,703.5714,3691.9297,266.413,Horizon_01,298,9207,0,1.0
9207,707.1429,3691.9297,266.413,Horizon_01,298,9208,0,1.0
9208,710.7143,3691.9297,266.413,Horizon_01,298,9209,0,1.0
9209,714.2857,3691.9297,266.413,Horizon_01,298,9210,0,1.0
9210,717.8571,3691.9297,266.413,Horizon_01,298,9211,0,1.0
9211,721.4286,3691.9297,266.413,Horizon_01,298,9212,0,1.0
9212,725.0,3691.9297,266.413,Horizon_01,298,9213,0,1.0
9213,728.5714,3691.9297,266.413,Horizon_01,298,9214,0,1.0
9214,732.1429,3691.9297,266.413,Horizon_01,298,9215,0,1.0
9215,735.7143,3691.9297,266.413,Horizon_01,298,9216,0,1.0
9216,739.2857,3691.9297,266.413,Horizon_01,298,9217,0,1.0
9217,742.8571,3691.9297,266.413,Horizon_01,298,9218,0,1.0
9218,746.4286,3691.9297,266.413,Horizon_01,298,9219,0,1.0
9219,750.0,3691.9297,266.413,Horizon_01,298,9220,0,1.0
9220,753.5714,3691.9297,266.413,Horizon_01,298,9221,0,1.0
9221,757.1429,3691.9297,266.413,Horizon_01,298,9222,0,1.0
9222,760.7143,3691.9297,266.413,Horizon_01,298,9223,0,1.0
9223,764.2857,3691.9297,266.413,Horizon_01,298,9224,0,1.0
9224,767.8571,3691.9297,266.413,Horizon_01,298,9225,0,1.0
9225,771.4286,3691.9297,266.413,Horizon_01,298,9226,0,1.0
9226,775.0,3691.9297,266.413,Horizon_01,298,9227,0,1.0
9227,778.5714,3691.9297,266.413,Horizon_01,298,9228,0,1.0
